
What is the capital of France?,Paris,Berlin,London,Madrid,A
Who wrote the Harry Potter book series?,J.K. Rowling,Stephen King,George R.R. Martin,Suzanne Collins,A
Which is the smallest continent?,Australia,South America,Europe,Antarctica,A
What is the currency of Japan?,Pound,Sterling,Yen,Dollar,C
What is the chemical symbol for gold?,Au,Ag,Cu,Fe,A
Which is the biggest planet?,Jupiter,Saturn,Uranus,Neptune,A
Which is the highest number in a deck?,10,11,12,13,A
Which is the world's largest desert?,Sahara,Gobi,Kalahari,Arabian,A
What is the national animal of Canada?,Grizzly Bear,Moose,Beaver,Canadian Goose,C
What is the capital of India?,New Delhi,Mumbai,Kolkata,Chennai,A
What is the tallest mountain in the world?,K2,Mount Everest,Kanchenjunga,Lhotse,B
What is the largest mammal on earth?,Blue whale,Elephant,Giraffe,Hippopotamus,A
What is the currency of USA?,Yen,Euro,Pound sterling,Dollar,D
What is the smallest country in the world by land?,Vatican City,Monaco,Nauru,Tuvalu,A
Which planet is closest to the sun?,Mercury,Venus,Earth,Mars,A
What is the largest organ in the human body?,Skin,Heart,Liver,Lungs,C
In what year did World War II end?,1945,1944,1943,1942,A
What is the capital of Brazil?,Brasalia,Sao Paulo,Rio de Janeiro,Belo Horizonte,A
What is the primary language spoken in Argentina?,Spanish,Portuguese,English,French,A
What is the national animal of Australia?,Kangaroo,Koala,Emu,Tasmanian devil,A
What is the capital of Spain?,Madrid,Barcelona,Valencia,Seville,A
Which is the longest river in Africa?,Nile,Congo,Zambezi,Niger,A
What is the largest ocean in the world?,Pacific,Atlantic,Indian,Arctic,A
Which country is known as the Land of Rising Sun?,Japan,China,South Korea,North Korea,A
What is the tallest animal on earth?,Elephant,Giraffe,Hippopotamus,Gorilla,B
What is the national flower of Japan?,Cherry blossom,Lotus,Rose,Lily,A
